request_ke,server_tujuan,waktu_detik,status
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
-1,502 Server Error: Bad Gateway for url: http://localhost:8085/,0.0000,ERROR
